Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
NREM,0.00069,9.86537,12.98732,12.61268,10.11512,0.00042,11.73854,19.85561,20.10537,11.73854,0.00132,4.37073,10.98927,9.86537,4.24585,0.01561,0.74927,4.49561,2.12293,0.49951,3.1e-05,26.97366,49.82634,49.95122,49.95122,0.00087,10.11512,13.1122,12.86244,11.86341,0.00057,12.23805,18.10732,18.10732,12.36293,0.00163,4.24585,11.98829,9.99024,4.24585,0.01604,0.87415,4.49561,2.49756,0.74927,3.21e-05,22.47805,49.70146,49.95122,49.95122,0.00028,7.24293,13.23707,12.73756,5.61951,0.00017,12.4878,22.22829,22.85268,12.36293,0.00073,4.87024,9.99024,7.3678,5.61951,0.0068,0.74927,5.24488,2.37268,0.49951,1.87e-05,32.09366,47.95317,49.95122,49.95122
NREM,0.00065,9.36585,12.86244,12.23805,10.86439,0.00038,11.48878,20.60488,20.85463,10.86439,0.00144,4.12098,10.86439,9.1161,3.87122,0.019,0.87415,4.37073,2.12293,0.62439,3.04e-05,26.7239,49.82634,49.95122,49.95122,0.00076,9.49073,13.23707,12.86244,10.86439,0.00048,12.23805,19.98049,20.10537,12.73756,0.0017,4.24585,11.11415,8.86634,4.62049,0.02044,0.87415,4.49561,2.12293,0.62439,3.16e-05,24.22634,46.70439,49.95122,49.95122,0.00028,7.24293,13.73659,12.86244,5.99415,0.00017,12.73756,22.47805,23.47707,12.36293,0.00075,4.74537,9.49073,7.3678,4.62049,0.00435,0.87415,5.49463,3.12195,0.62439,1.92e-05,31.09463,46.70439,49.95122,49.95122
NREM,0.00059,9.61561,13.61171,12.86244,10.86439,0.00038,11.73854,20.48,20.72976,11.3639,0.00125,4.62049,11.11415,9.1161,5.36976,0.01825,0.74927,4.62049,1.99805,0.74927,2.96e-05,25.84976,49.70146,49.95122,49.95122,0.00062,8.74146,13.48683,13.1122,5.36976,0.00038,12.36293,20.48,20.85463,12.86244,0.0015,4.24585,10.86439,8.11707,5.36976,0.02306,0.87415,4.37073,1.99805,0.49951,2.85e-05,25.10049,49.70146,49.95122,49.95122,0.00027,7.11805,13.73659,12.73756,5.99415,0.00015,12.73756,22.85268,23.60195,12.86244,0.00074,4.74537,9.36585,7.3678,4.87024,0.00543,0.87415,5.24488,2.74732,0.62439,1.82e-05,30.96976,46.20488,49.95122,49.95122
NREM,0.00056,9.74049,13.61171,12.86244,9.99024,0.00035,11.61366,20.85463,21.10439,9.99024,0.00119,4.37073,10.73951,9.49073,4.49561,0.01995,0.87415,4.37073,1.87317,0.74927,2.76e-05,26.59902,49.70146,49.95122,49.95122,0.00069,9.24098,13.61171,13.23707,10.36488,0.00043,12.4878,19.23122,19.3561,12.86244,0.0017,4.12098,10.73951,8.36683,3.87122,0.02526,0.87415,4.37073,2.12293,0.74927,2.86e-05,24.60098,49.70146,49.95122,49.95122,0.00019,7.61756,14.61073,13.48683,6.86829,0.00013,13.48683,22.7278,23.97659,13.1122,0.00059,3.9961,9.24098,7.11805,2.74732,0.00539,0.87415,4.62049,2.74732,0.62439,1.68e-05,33.71707,47.82829,49.95122,49.95122
NREM,0.00115,9.86537,15.85951,14.86049,10.11512,0.00118,16.10927,28.97171,33.09268,10.11512,0.00198,4.62049,10.86439,9.99024,4.74537,0.02769,0.74927,4.49561,2.12293,0.62439,0.00034,37.08878,42.33366,49.70146,41.20976,0.00099,9.86537,15.73463,14.86049,10.11512,0.00107,16.35902,29.5961,33.96683,10.11512,0.002,3.87122,11.11415,9.49073,3.62146,0.03176,0.74927,4.12098,1.99805,0.62439,0.00034,37.46341,42.45854,49.70146,44.20683,0.00053,10.86439,18.73171,18.35707,9.74049,0.00096,20.23024,32.46829,37.21366,14.61073,0.00085,4.37073,13.73659,9.74049,3.37171,0.07546,0.62439,2.74732,0.99902,0.62439,0.00043,37.71317,42.33366,48.82732,28.97171
NREM,0.0012,10.61463,20.35512,19.85561,11.73854,0.00246,23.72683,33.46732,38.33756,29.22146,0.00193,4.87024,12.23805,9.86537,2.8722,0.0331,0.74927,4.49561,1.74829,0.62439,0.00127,37.33854,41.33463,51.44976,29.22146,0.00104,10.61463,20.48,20.23024,9.49073,0.00221,23.47707,33.21756,38.33756,29.22146,0.00144,4.99512,12.73756,10.36488,3.49659,0.02577,0.62439,4.37073,1.62341,0.37463,0.00113,37.08878,41.08488,50.82537,29.22146,0.00084,11.86341,22.47805,22.85268,11.98829,0.00232,24.72585,33.5922,38.96195,29.22146,0.00114,4.24585,14.2361,10.73951,2.49756,0.05329,0.49951,3.12195,1.24878,0.49951,0.00128,37.46341,41.33463,50.95024,39.46146
NREM,0.00046,9.1161,15.23512,14.2361,9.74049,0.00035,14.11122,22.60293,23.47707,11.73854,0.00086,4.74537,10.73951,9.24098,2.62244,0.00645,0.99902,5.12,2.49756,0.62439,4.18e-05,30.22049,45.70537,49.95122,49.95122,0.00052,8.99122,15.73463,14.86049,7.3678,0.00043,14.98537,23.85171,24.97561,14.36098,0.00089,5.36976,10.73951,9.24098,5.12,0.00517,0.87415,5.74439,2.62244,0.62439,5.88e-05,29.34634,48.57756,49.95122,49.95122,0.00027,8.11707,15.11024,14.36098,7.24293,0.0002,14.73561,25.22537,26.59902,14.36098,0.00055,5.12,9.99024,8.49171,5.61951,0.00307,0.99902,5.61951,2.8722,0.87415,3.26e-05,32.46829,42.83317,49.95122,49.95122
NREM,0.00064,9.99024,15.98439,15.23512,9.74049,0.00064,15.60976,26.7239,29.47122,11.3639,0.00097,4.87024,11.73854,10.11512,3.9961,0.01297,0.74927,4.62049,1.99805,0.49951,0.00014,34.7161,42.95805,49.95122,49.95122,0.00063,9.86537,16.73366,15.85951,11.48878,0.0007,16.98341,27.47317,30.22049,11.48878,0.00099,4.99512,11.48878,9.86537,3.9961,0.00689,0.87415,5.49463,2.49756,0.74927,0.00016,33.71707,42.45854,49.82634,49.95122,0.00036,9.36585,17.73268,16.85854,8.61659,0.00046,18.98146,29.22146,32.34341,12.86244,0.00053,5.61951,11.48878,9.61561,3.9961,0.00449,0.74927,5.61951,1.99805,0.62439,0.00014,34.21659,42.0839,49.70146,49.95122
NREM,0.00117,8.36683,17.6078,15.23512,7.24293,0.00124,19.23122,30.34537,33.71707,29.97073,0.0042,2.62244,10.11512,7.11805,2.2478,0.22186,0.62439,2.8722,1.74829,0.49951,0.00039,34.09171,40.08585,48.82732,29.97073,0.0013,8.36683,15.85951,13.98634,10.86439,0.0012,16.85854,29.97073,33.09268,13.86146,0.0044,2.74732,10.24,7.24293,2.49756,0.19025,0.62439,2.99707,1.74829,0.49951,0.00036,34.96585,40.96,49.70146,29.97073,0.00078,7.24293,19.10634,16.60878,2.49756,0.00098,21.6039,31.21951,35.34049,29.97073,0.00346,2.62244,8.74146,5.86927,2.49756,0.1606,0.62439,2.99707,1.74829,0.49951,0.0004,35.09073,40.96,48.9522,29.97073
NREM,0.0007,10.11512,16.35902,15.36,10.24,0.00074,15.23512,25.10049,27.8478,14.48585,0.00114,4.74537,11.98829,9.74049,3.74634,0.02542,0.62439,3.87122,1.74829,0.74927,0.00013,32.9678,41.83415,49.95122,49.95122,0.00077,9.24098,16.4839,15.60976,8.49171,0.00078,15.60976,23.72683,25.6,14.48585,0.00114,5.74439,11.86341,9.61561,5.86927,0.02,0.62439,4.62049,1.62341,0.62439,0.00012,30.22049,40.58537,49.82634,49.95122,0.00056,8.99122,16.23415,15.48488,7.9922,0.00052,15.73463,24.60098,26.84878,11.98829,0.00085,5.86927,11.61366,9.36585,6.2439,0.10054,0.49951,2.37268,0.74927,0.37463,8.14e-05,31.21951,40.08585,49.70146,49.95122
NREM,0.00055,10.24,15.23512,14.48585,10.24,0.00047,12.98732,21.6039,22.47805,11.73854,0.00069,5.61951,11.98829,10.73951,2.74732,0.00294,0.87415,6.2439,2.8722,0.62439,4.31e-05,25.97463,39.58634,49.82634,49.95122,0.00058,9.99024,15.60976,15.11024,7.49268,0.00052,13.98634,21.97854,22.85268,12.61268,0.00076,5.74439,12.36293,10.48976,7.49268,0.00253,1.24878,6.49366,3.12195,0.74927,5.41e-05,26.59902,47.07902,49.82634,49.95122,0.00044,9.1161,15.73463,14.86049,7.3678,0.00037,14.36098,22.60293,23.47707,12.4878,0.00076,5.24488,11.3639,9.24098,4.49561,0.00183,1.62341,6.36878,3.9961,0.74927,3.94e-05,26.22439,39.71122,49.82634,49.95122
NREM,0.00073,9.61561,14.73561,13.98634,10.11512,0.00056,13.1122,21.85366,22.47805,10.86439,0.00116,5.36976,11.48878,9.86537,3.24683,0.00718,1.1239,5.61951,2.74732,0.49951,4.94e-05,25.22537,37.08878,47.32878,49.95122,0.00072,9.74049,16.35902,15.36,10.11512,0.00064,14.73561,21.72878,22.35317,10.11512,0.00117,5.12,11.61366,9.86537,3.74634,0.00593,1.1239,5.74439,2.8722,0.49951,6.22e-05,25.22537,39.96098,49.82634,49.95122,0.00047,8.99122,16.35902,15.11024,6.49366,0.00041,14.98537,22.7278,23.85171,11.48878,0.00077,5.36976,11.11415,9.24098,4.37073,0.00419,0.87415,5.99415,2.8722,0.49951,4.37e-05,26.34927,37.58829,47.82829,49.95122
NREM,0.00057,10.61463,14.48585,13.86146,12.36293,0.00047,12.73756,20.60488,21.35415,12.36293,0.00082,5.12,12.23805,10.73951,2.99707,0.00357,1.49854,5.61951,2.99707,1.74829,3.34e-05,22.7278,35.71512,49.45171,49.95122,0.00077,11.3639,13.98634,13.61171,12.73756,0.00066,12.86244,20.35512,20.85463,12.73756,0.00106,4.99512,12.73756,11.48878,2.99707,0.00388,1.74829,5.74439,3.24683,0.87415,4.76e-05,23.22732,43.58244,49.82634,49.95122,0.00047,9.1161,15.11024,14.36098,7.86732,0.00038,13.61171,21.97854,22.7278,12.86244,0.00073,5.49463,11.98829,9.36585,5.24488,0.00183,1.49854,6.61854,3.87122,0.74927,3.33e-05,24.22634,36.21463,49.70146,49.95122
NREM,0.00074,9.61561,14.11122,13.1122,12.36293,0.00054,12.4878,20.35512,20.72976,12.36293,0.00108,5.61951,11.98829,10.11512,3.12195,0.00442,1.37366,6.11902,3.12195,1.24878,3.54e-05,22.22829,34.46634,47.70341,49.95122,0.00105,10.73951,13.23707,13.1122,12.36293,0.00081,12.61268,19.23122,19.73073,12.36293,0.00149,5.12,12.4878,11.11415,2.99707,0.00724,1.37366,5.49463,2.99707,0.74927,5.06e-05,22.60293,40.58537,49.82634,49.95122,0.00062,8.74146,14.2361,13.23707,7.74244,0.00044,12.73756,21.47902,22.10341,12.73756,0.0009,5.86927,11.61366,9.36585,4.87024,0.00282,1.1239,6.86829,3.37171,0.62439,3.47e-05,23.72683,36.08976,49.70146,49.95122
NREM,0.00072,9.86537,13.98634,13.1122,11.61366,0.00053,12.36293,20.97951,21.47902,11.73854,0.00109,5.36976,11.86341,10.24,2.99707,0.00458,1.37366,5.74439,3.12195,1.37366,3.65e-05,22.97756,33.84195,46.95415,49.95122,0.00096,10.98927,13.48683,13.1122,12.4878,0.00073,12.36293,20.23024,20.72976,12.4878,0.00154,4.62049,12.23805,10.48976,3.62146,0.00653,1.49854,5.49463,3.24683,1.37366,4.84e-05,22.60293,40.21073,49.82634,49.95122,0.00051,8.86634,15.11024,14.36098,7.3678,0.0004,13.48683,21.97854,22.60293,12.4878,0.00085,5.36976,11.61366,9.1161,5.36976,0.00219,1.49854,6.36878,3.87122,0.62439,3.47e-05,24.22634,35.09073,48.9522,49.95122
NREM,0.0007,9.49073,14.2361,13.23707,11.73854,0.00051,12.4878,20.60488,20.97951,11.73854,0.00104,5.49463,11.86341,9.99024,5.49463,0.00492,1.37366,5.61951,2.99707,0.99902,3.51e-05,22.60293,34.7161,47.32878,49.95122,0.00091,10.24,13.73659,13.36195,12.73756,0.00071,12.73756,20.23024,20.48,12.73756,0.00134,5.24488,12.4878,10.36488,5.49463,0.00559,1.49854,5.61951,3.12195,1.1239,4.84e-05,23.10244,41.58439,49.95122,49.95122,0.00053,8.74146,15.48488,14.61073,8.36683,0.00042,13.86146,21.97854,22.60293,12.73756,0.00091,5.24488,11.48878,8.86634,3.74634,0.00254,1.24878,6.36878,3.87122,0.62439,3.7e-05,23.97659,35.21561,49.70146,49.95122
NREM,0.00091,9.99024,13.48683,13.1122,12.23805,0.00064,12.36293,19.48098,19.98049,12.23805,0.00141,4.99512,11.98829,10.11512,2.74732,0.00597,1.49854,5.61951,2.99707,1.37366,3.77e-05,21.6039,33.21756,44.45659,49.95122,0.00108,10.11512,13.48683,13.1122,12.23805,0.00078,12.4878,19.60585,19.98049,12.23805,0.00176,4.87024,12.23805,9.99024,2.74732,0.00909,1.24878,5.49463,2.8722,1.37366,4.88e-05,22.60293,41.95902,49.82634,49.95122,0.00058,9.1161,14.86049,13.86146,8.36683,0.00045,12.98732,21.85366,22.35317,12.36293,0.00091,5.49463,11.73854,9.36585,3.87122,0.00291,1.24878,6.36878,3.62146,0.62439,3.63e-05,23.22732,35.34049,48.07805,49.95122
NREM,0.0009,9.49073,13.1122,12.61268,10.36488,0.00059,12.11317,20.48,20.72976,12.61268,0.0015,5.12,11.48878,9.74049,5.24488,0.00671,1.24878,5.61951,3.12195,0.99902,3.74e-05,22.47805,34.7161,46.95415,49.95122,0.00127,11.11415,13.1122,12.86244,12.61268,0.00095,12.4878,18.98146,19.23122,12.61268,0.00198,5.12,12.36293,10.98927,5.24488,0.01059,0.99902,5.36976,2.8722,0.74927,5.36e-05,21.35415,38.46244,49.82634,49.95122,0.0006,9.24098,14.61073,13.86146,12.4878,0.00046,12.73756,21.47902,22.22829,12.4878,0.00097,5.24488,11.98829,9.49073,3.87122,0.00427,0.87415,5.99415,3.24683,0.62439,3.68e-05,23.72683,35.21561,49.57659,49.95122
NREM,0.0008,9.86537,13.98634,12.98732,11.3639,0.00056,12.11317,20.72976,21.22927,11.73854,0.00156,4.37073,11.48878,9.49073,2.37268,0.01263,1.24878,4.74537,2.62244,0.62439,3.69e-05,22.7278,33.21756,44.70634,49.95122,0.00084,9.49073,13.98634,13.36195,11.98829,0.00061,12.61268,20.72976,21.22927,11.98829,0.00184,4.24585,11.61366,8.74146,2.37268,0.01523,0.99902,4.74537,2.62244,0.62439,4.51e-05,24.10146,41.58439,49.95122,49.95122,0.00053,8.61659,15.36,14.11122,7.11805,0.0004,13.61171,21.85366,22.60293,11.98829,0.00097,5.24488,11.23902,8.74146,6.11902,0.00385,1.37366,5.99415,3.24683,1.37366,3.38e-05,24.22634,35.84,49.70146,49.95122
NREM,0.00073,9.36585,13.86146,13.1122,11.3639,0.0005,12.23805,20.97951,21.35415,12.11317,0.00131,4.74537,11.23902,9.49073,3.87122,0.01024,0.99902,4.99512,2.62244,0.62439,3.41e-05,22.60293,34.09171,47.07902,49.95122,0.00084,9.49073,13.98634,13.48683,12.23805,0.00062,12.73756,20.60488,21.10439,12.61268,0.00161,4.62049,11.98829,9.1161,4.12098,0.01087,0.99902,5.24488,2.74732,0.62439,4.41e-05,23.3522,43.33268,49.82634,49.95122,0.00045,8.86634,15.85951,14.61073,8.24195,0.00037,14.36098,22.35317,22.85268,12.11317,0.00087,4.87024,11.3639,8.74146,3.62146,0.00391,0.99902,5.74439,3.24683,0.87415,3.41e-05,23.97659,35.34049,49.70146,49.95122
NREM,0.00067,9.24098,14.36098,13.36195,8.36683,0.00048,12.73756,20.97951,21.35415,12.86244,0.00113,5.24488,11.48878,9.36585,4.62049,0.00472,1.37366,5.86927,3.12195,0.99902,3.41e-05,22.7278,34.34146,48.20293,49.95122,0.00085,9.36585,13.98634,13.36195,12.86244,0.00063,12.86244,20.60488,20.97951,12.86244,0.0015,4.99512,12.23805,9.24098,5.12,0.007,1.49854,5.49463,2.99707,0.74927,4.44e-05,23.47707,41.95902,49.95122,49.95122,0.00052,8.36683,15.36,14.2361,6.74341,0.00039,13.86146,21.85366,22.47805,12.86244,0.00097,5.24488,10.98927,8.49171,5.24488,0.00363,0.99902,6.11902,3.49659,0.87415,3.36e-05,23.85171,36.33951,49.82634,49.95122
NREM,0.00059,9.74049,14.73561,13.61171,9.74049,0.00044,12.61268,21.22927,21.85366,12.11317,0.00106,4.62049,11.3639,9.61561,3.12195,0.00629,1.1239,5.24488,2.99707,1.1239,3.24e-05,22.97756,35.59024,49.70146,49.95122,0.00065,9.49073,14.48585,13.61171,12.98732,0.00049,12.98732,20.60488,21.47902,12.98732,0.00129,4.24585,11.86341,8.86634,3.74634,0.00589,1.24878,5.12,3.37171,0.74927,3.9e-05,24.10146,46.45463,49.95122,49.95122,0.0005,8.61659,15.60976,14.48585,7.61756,0.00038,14.2361,22.22829,22.7278,12.36293,0.00095,4.99512,10.86439,8.74146,3.87122,0.00335,1.24878,5.99415,3.49659,0.74927,3.41e-05,23.97659,36.08976,49.70146,49.95122
NREM,0.00086,9.86537,13.61171,12.98732,9.74049,0.0006,12.23805,20.10537,20.48,11.73854,0.00135,4.99512,11.61366,10.11512,4.12098,0.00902,0.99902,5.36976,2.62244,1.1239,3.65e-05,21.97854,34.34146,45.58049,49.95122,0.00113,11.23902,13.48683,13.23707,12.86244,0.00089,12.73756,18.60683,18.85659,12.86244,0.00173,4.87024,12.61268,11.11415,3.87122,0.01276,0.87415,5.24488,2.49756,0.49951,5.09e-05,21.35415,39.46146,49.95122,49.95122,0.00055,9.49073,14.98537,13.86146,11.98829,0.00044,13.1122,21.35415,22.10341,11.98829,0.00092,5.36976,11.86341,9.49073,3.87122,0.00384,0.99902,5.99415,3.37171,0.62439,3.5e-05,24.10146,35.34049,49.20195,49.95122
NREM,0.00096,9.49073,14.48585,13.23707,9.61561,0.00074,13.36195,25.47512,27.22341,9.61561,0.0017,4.62049,10.86439,9.61561,3.37171,0.0533,0.49951,3.74634,1.37366,0.49951,0.00012,31.8439,38.83707,48.82732,49.95122,0.00092,9.49073,15.11024,14.11122,9.61561,0.00077,13.98634,25.47512,27.59805,9.61561,0.00177,4.24585,11.23902,9.49073,3.49659,0.05041,0.62439,3.87122,1.24878,0.49951,0.00013,32.34341,41.08488,49.82634,49.95122,0.00053,8.86634,16.60878,15.48488,7.61756,0.00054,16.85854,27.34829,30.34537,16.4839,0.00133,3.74634,10.73951,8.24195,1.37366,0.12494,0.49951,2.74732,1.1239,0.62439,0.00012,33.21756,39.8361,49.70146,49.95122
NREM,0.0007,8.74146,14.61073,13.36195,8.74146,0.00047,12.61268,21.97854,22.60293,12.23805,0.00174,3.74634,10.73951,8.36683,2.99707,0.01995,1.1239,4.12098,2.62244,0.99902,4.24e-05,25.97463,38.96195,49.82634,49.95122,0.00074,8.61659,15.11024,14.11122,8.74146,0.00053,13.73659,22.47805,22.97756,10.11512,0.00175,4.12098,10.48976,8.36683,2.99707,0.01187,1.24878,4.87024,2.8722,1.24878,5.25e-05,26.47415,44.20683,49.95122,49.95122,0.00043,8.99122,15.60976,14.61073,9.49073,0.00034,14.61073,22.85268,23.85171,13.73659,0.00078,5.24488,10.73951,9.24098,5.36976,0.00625,0.87415,5.36976,2.49756,0.87415,3.92e-05,27.34829,40.83512,49.95122,49.95122
NREM,0.00131,10.61463,24.4761,24.60098,8.99122,0.00413,25.35024,35.21561,43.8322,24.35122,0.00212,4.24585,13.73659,9.1161,3.37171,0.03378,0.62439,4.24585,1.99805,0.37463,0.00299,40.33561,44.58146,46.57951,44.9561,0.00135,11.61366,24.60098,24.85073,7.61756,0.00446,25.35024,35.21561,43.70732,24.35122,0.00188,4.99512,14.48585,9.86537,3.37171,0.03426,0.62439,4.24585,1.74829,0.49951,0.00318,40.21073,44.58146,46.45463,44.83122,0.0012,11.61366,24.85073,25.10049,14.98537,0.00424,25.47512,35.21561,43.8322,24.35122,0.00253,3.37171,14.11122,8.11707,1.99805,0.04753,0.87415,3.74634,2.12293,0.37463,0.00313,40.33561,44.58146,46.45463,44.83122
NREM,0.00072,9.24098,14.98537,14.11122,9.99024,0.00055,14.11122,23.10244,24.60098,9.99024,0.00134,4.24585,10.61463,9.36585,2.99707,0.0606,0.49951,3.49659,1.24878,0.49951,7.1e-05,30.22049,39.8361,49.82634,49.95122,0.00072,8.99122,15.73463,14.73561,7.74244,0.00061,15.11024,23.22732,24.97561,13.73659,0.00127,5.12,10.61463,9.24098,4.12098,0.05764,0.49951,3.37171,1.1239,0.49951,8.79e-05,31.09463,43.58244,49.95122,49.95122,0.00047,8.74146,16.85854,15.23512,8.99122,0.00043,16.98341,24.72585,27.72293,18.48195,0.00108,3.87122,10.48976,8.49171,2.62244,0.10506,0.49951,2.62244,0.87415,0.49951,7.91e-05,31.8439,39.8361,49.82634,49.95122
NREM,0.00089,9.1161,14.11122,13.48683,8.11707,0.0006,12.4878,20.60488,21.10439,11.73854,0.0018,4.49561,11.3639,8.86634,2.8722,0.01613,1.24878,4.62049,2.49756,1.37366,4.36e-05,24.10146,37.21366,49.82634,49.95122,0.001,8.86634,14.48585,13.86146,8.11707,0.00075,13.36195,21.35415,21.85366,13.23707,0.00206,4.49561,11.48878,8.49171,2.74732,0.01261,1.24878,4.87024,2.8722,1.24878,6e-05,23.47707,41.33463,49.95122,49.95122,0.00047,8.99122,15.48488,14.61073,8.36683,0.0004,13.98634,22.10341,22.97756,13.23707,0.00076,5.61951,11.73854,9.1161,5.74439,0.00356,0.99902,5.99415,2.99707,0.62439,4.07e-05,26.47415,40.46049,49.82634,49.95122
NREM,0.00049,9.24098,14.61073,13.86146,7.74244,0.00037,12.98732,21.22927,21.72878,12.36293,0.00078,5.24488,11.86341,9.49073,3.12195,0.00366,1.1239,5.74439,2.99707,1.1239,3.03e-05,24.35122,37.96293,49.82634,49.95122,0.00074,10.61463,14.48585,13.98634,12.73756,0.00062,12.98732,19.85561,20.35512,12.73756,0.00104,5.24488,12.73756,10.61463,3.12195,0.00352,1.49854,5.99415,3.37171,1.1239,4.55e-05,23.72683,49.70146,49.95122,49.95122,0.00041,8.86634,15.48488,14.61073,7.86732,0.00034,13.98634,22.22829,22.97756,12.73756,0.00067,5.49463,11.61366,9.1161,4.24585,0.00168,1.37366,6.49366,3.9961,0.74927,3.3e-05,25.47512,40.46049,49.95122,49.95122
NREM,0.0009,10.73951,13.1122,12.73756,11.98829,0.00066,12.11317,19.60585,19.73073,11.98829,0.0011,6.11902,12.11317,11.48878,6.11902,0.00519,1.1239,6.11902,2.8722,0.99902,3.76e-05,21.6039,34.84098,49.70146,49.95122,0.00124,11.61366,12.98732,12.86244,11.98829,0.00093,12.23805,18.60683,18.73171,12.23805,0.00158,5.74439,12.23805,11.86341,3.49659,0.00602,1.37366,6.2439,3.24683,0.99902,5.3e-05,22.10341,46.70439,49.95122,49.95122,0.0006,8.61659,14.36098,13.48683,12.23805,0.00043,12.61268,21.22927,21.85366,12.23805,0.00096,5.49463,11.86341,9.1161,5.36976,0.00227,1.37366,6.74341,4.12098,0.87415,3.47e-05,24.35122,38.83707,49.82634,49.95122
NREM,0.0006,9.1161,13.98634,12.98732,10.98927,0.0004,12.11317,20.97951,21.35415,11.98829,0.00103,4.99512,11.3639,9.36585,3.12195,0.00703,0.99902,5.24488,2.62244,0.87415,2.96e-05,24.10146,37.96293,49.82634,49.95122,0.00077,9.61561,13.61171,13.1122,12.11317,0.00054,12.23805,20.23024,20.72976,12.11317,0.00134,4.87024,11.86341,9.49073,2.99707,0.00566,1.24878,5.61951,3.24683,0.74927,4.02e-05,24.97561,49.82634,49.95122,49.95122,0.00044,9.1161,15.36,14.48585,12.11317,0.00036,13.61171,22.22829,22.7278,12.11317,0.0007,5.24488,11.86341,9.36585,3.62146,0.00223,1.37366,6.2439,3.62146,0.74927,3.32e-05,25.35024,39.46146,49.82634,49.95122
NREM,0.0009,10.11512,12.98732,12.61268,11.73854,0.0006,11.86341,19.73073,19.98049,11.73854,0.00151,4.99512,11.61366,10.24,3.24683,0.00793,1.24878,5.36976,2.99707,1.24878,3.53e-05,21.72878,36.9639,49.82634,49.95122,0.00106,9.49073,13.61171,13.1122,12.4878,0.00074,12.4878,19.23122,19.48098,12.4878,0.00213,4.37073,12.23805,8.86634,3.24683,0.01043,1.37366,5.49463,3.12195,1.24878,4.72e-05,22.85268,49.70146,49.95122,49.95122,0.00048,8.86634,15.48488,14.61073,6.74341,0.00038,13.73659,21.85366,22.35317,12.11317,0.0009,4.99512,11.48878,8.86634,3.74634,0.00348,0.99902,5.99415,3.49659,0.74927,3.36e-05,24.72585,38.7122,49.82634,49.95122
NREM,0.00071,10.48976,13.36195,12.86244,11.98829,0.00052,12.23805,20.10537,20.48,12.11317,0.00103,4.99512,11.98829,10.73951,3.74634,0.00598,0.99902,5.49463,2.8722,0.74927,3.33e-05,23.3522,35.96488,49.82634,49.95122,0.00097,11.73854,12.98732,12.86244,12.4878,0.00077,12.36293,18.98146,19.23122,12.4878,0.00128,4.99512,12.4878,11.86341,3.62146,0.00583,1.24878,5.61951,3.12195,0.74927,4.88e-05,23.85171,49.70146,49.95122,49.95122,0.00049,9.49073,15.11024,14.36098,12.4878,0.0004,13.1122,21.97854,22.35317,12.4878,0.00077,5.36976,12.11317,9.49073,4.99512,0.00243,1.1239,6.2439,3.62146,0.74927,3.5e-05,24.35122,37.46341,49.82634,49.95122
NREM,0.00071,9.86537,13.23707,12.73756,11.48878,0.00048,12.11317,20.60488,20.85463,12.23805,0.00116,5.12,11.61366,9.99024,2.99707,0.00533,1.37366,5.61951,2.99707,0.62439,3.18e-05,22.97756,36.9639,49.82634,49.95122,0.00092,10.48976,13.36195,13.1122,12.36293,0.00068,12.61268,18.73171,19.23122,12.98732,0.00143,4.87024,12.36293,10.48976,4.49561,0.00604,1.49854,5.61951,3.24683,0.49951,4.35e-05,23.60195,49.70146,49.95122,49.95122,0.00043,8.99122,15.73463,14.48585,7.74244,0.00035,13.98634,22.35317,22.97756,12.36293,0.00075,5.12,11.48878,8.99122,4.99512,0.00364,1.1239,5.74439,3.12195,0.62439,3.33e-05,24.4761,37.96293,49.82634,49.95122
